"feature","chi2_score_peanut","p_values_peanut","sample_count_peanut","correlation_to_peanut"
"pinda",292.10526315789474,1.7291957089672581e-65,10,0.2186271381287268
"noten",156.1013750592698,8.04479297717452e-36,49,0.32928431372423783
"lupine",137.71765692818326,8.401131805593671e-32,14,0.19224893551348687
"stark",128.46448553816978,8.882243243659437e-30,8,0.15432222824706618
"cashewnuss",116.8421052631579,3.1085583011780968e-27,2,0.1812712073882876
"weinsäure",116.8421052631579,3.1085583011780968e-27,2,0.15689250630092932
"erdnuss",116.8421052631579,3.1085583011780968e-27,4,0.21862713812872686
"invertzuckersirup",100.41266951161687,1.2373407204963129e-23,6,0.3195852114817975
"palmöl",81.73428165007114,1.5566973264847392e-19,10,0.15689250630092935
"walnuss",75.25089299826142,4.1454280724279464e-18,5,0.13342149205031123
"haselnüsse",68.41213845424373,1.3265846223388404e-16,14,0.22326195047546493
"hazelnoten",64.23224276908489,1.1058413542548836e-15,4,0.3195852114817975
"kakaopulver",63.09012802275961,1.9746129050744316e-15,15,0.1922489355134869
"45",61.0450536661063,5.578349651135562e-15,13,0.19224893551348687
"macada",58.42105263157895,2.1161439892249768e-14,2,0.22578359310988044
"macadamianuss",58.42105263157895,2.1161439892249768e-14,2,0.3195852114817975
"apfelfruchtfüllung",58.42105263157895,2.1161439892249768e-14,2,0.3195852114817976
"bourbonvanileschote",58.42105263157895,2.1161439892249768e-14,2,0.3195852114817975
"écrémé",58.42105263157895,2.1161439892249768e-14,2,0.22578359310988044
"stammt",58.42105263157895,2.1161439892249768e-14,2,0.3195852114817975
"in",58.42105263157895,2.1161439892249768e-14,335,0.15432222824706623
"erdnüssen",58.42105263157895,2.1161439892249768e-14,2,0.17607453416787344
"ver",58.42105263157895,2.1161439892249768e-14,127,0.3102760685142564
"das",58.42105263157895,2.1161439892249768e-14,2,0.25669817264124944
"söureregulator",58.42105263157895,2.1161439892249768e-14,2,0.45275396142329577
"magermilchpul",58.42105263157895,2.1161439892249768e-14,7,0.3195852114817975
"mianuss",58.42105263157895,2.1161439892249768e-14,2,0.15432222824706623
"milchsäure",58.42105263157895,2.1161439892249768e-14,2,0.25669817264124933
"diesem",58.42105263157895,2.1161439892249768e-14,2,0.1798515357059403
"nückverfolgbaren",58.42105263157895,2.1161439892249768e-14,2,0.25669817264124933
"nit",58.42105263157895,2.1161439892249768e-14,22,0.18310163108012406
"nachhaltigem",58.42105263157895,2.1161439892249768e-14,2,0.3495204328133142
"produkt",58.42105263157895,2.1161439892249768e-14,2,0.3356905497760111
"natriumbicarbonat",58.42105263157895,2.1161439892249768e-14,2,0.3195852114817975
"quellen",58.42105263157895,2.1161439892249768e-14,2,0.28310880994622956
"citroensapconcentraat",58.42105263157895,2.1161439892249768e-14,2,0.3359501198780581
"entölt",54.48952110004741,1.5627894221707606e-13,11,0.2566981726412495
"und",48.81348259014164,2.8149805453277633e-12,55,0.20108889131866034
"säuerungsmittel",37.62544649913071,8.571890504273317e-10,3,0.2186271381287268
"vanillestokjes",37.62544649913071,8.571890504273317e-10,3,0.43209558556384087
"zwaar",37.62544649913071,8.571890504273317e-10,3,0.22578359310988044
"tafelzout",37.62544649913071,8.571890504273317e-10,3,0.22578359310988025
"tahin",37.62544649913071,8.571890504273317e-10,3,0.3195852114817975
"geroosterde",37.62544649913071,8.571890504273317e-10,3,0.3195852114817975
"kaliumcarbonat",37.62544649913071,8.571890504273317e-10,3,0.1543222282470662
"zuckerrübensirup",37.62544649913071,8.571890504273317e-10,3,0.3195852114817975
"säureregulator",37.62544649913071,8.571890504273317e-10,3,0.14413944227621212
"gekookte",37.62544649913071,8.571890504273317e-10,3,0.22065532126735193
"entöltes",37.62544649913071,8.571890504273317e-10,3,0.19224893551348687
"nüssen",37.54962713910082,8.911645441957751e-10,11,0.18932693774431303
"rohrohrzucker",34.02361676955444,5.444718524150206e-09,85,0.15432222824706623
"mandeln",33.437500237079185,7.359122870325673e-09,22,0.3195852114817975
"reisvollkornflocken",29.210526315789476,6.492552266319795e-08,1,0.3195852114817975
"olied",29.210526315789476,6.492552266319795e-08,3,0.3195852114817975
"dennennaalden",29.210526315789476,6.492552266319795e-08,1,0.3195852114817975
"sesamboter",29.210526315789476,6.492552266319795e-08,1,0.3195852114817975
"rijstvlokken",29.210526315789476,6.492552266319795e-08,1,0.4238927176060556
"cashew",29.210526315789476,6.492552266319795e-08,7,0.3195852114817975
"sojapitten",29.210526315789476,6.492552266319795e-08,1,0.2582549277499003
"lupinen",29.210526315789476,6.492552266319795e-08,6,0.22578359310988047
"ont",29.210526315789476,6.492552266319795e-08,22,0.22578359310988047
"lupinemeel",29.210526315789476,6.492552266319795e-08,1,0.1543222282470662
"pompoenpitten",29.210526315789476,6.492552266319795e-08,1,0.19224893551348687
"bourbon",27.913703176861073,1.2684823571290168e-07,24,0.3293885760750774
"kikkererwten",27.244760550023706,1.7926023957416676e-07,4,0.7196645977527858
"anderen",27.244760550023706,1.7926023957416676e-07,4,0.22578359310988044
"38",27.244760550023706,1.7926023957416676e-07,4,0.3195852114817975
"sesamzaad",25.15725746799431,5.284042397655785e-07,48,0.3195852114817975
"glukosesirup",23.51863442389758,1.2370977295915326e-06,15,0.22578359310988025
"kann",21.835840794354727,2.97000158180977e-06,36,0.1381767716745877
"gemahlen",21.835840794354727,2.97000158180977e-06,31,0.22578359310988025
"süßlupinenmehl",21.0300426742532,4.521378430244019e-06,5,0.20697549354095443
"marzipan",21.0300426742532,4.521378430244019e-06,7,0.14917820907255563
"palmolie",21.0300426742532,4.521378430244019e-06,5,0.22578359310988047
"bourbonvanilleschote",21.0300426742532,4.521378430244019e-06,5,0.21009934495073188
"cacaopoeder",21.0300426742532,4.521378430244019e-06,5,0.22578359310988044
"48",21.0300426742532,4.521378430244019e-06,5,0.1989109866704505
"spuren",20.066382171645333,7.480002107859203e-06,36,0.19312718121935823
"melk",19.91481499648469,8.097043208630418e-06,64,0.3195852114817975
"sporen",19.38713450292398,1.0672361398150266e-05,84,0.47641269475230014
"von",18.490389558533604,1.7076320203893688e-05,38,0.15432222824706623
"enthalten",18.490389558533604,1.7076320203893688e-05,36,0.1543222282470662
"ungehärtet",16.898308835150942,3.94367030706803e-05,9,0.25669817264124956
"ruwe",16.898308835150942,3.94367030706803e-05,5,0.2566981726412495
"zartbitterschokolade",16.898308835150942,3.94367030706803e-05,6,0.3195852114817975
"allergenen",15.772440301443664,7.143554369641684e-05,94,0.19224893551348682
"zonnebloemolie",14.359791370317687,0.000150992417220967,14,0.25669817264124933
"anbau",13.956851588430537,0.00018705466751041354,7,0.25669817264124933
"rietsuiker",13.956851588430537,0.00018705466751041354,6,0.1543222282470662
"apfelmark",13.956851588430537,0.00018705466751041354,7,0.26837287344812
"ontolied",13.622380275011853,0.0002235051377447574,2,0.1724834592761209
"stukjes",13.622380275011853,0.0002235051377447574,2,0.25669817264124944
"enkele",13.622380275011853,0.0002235051377447574,2,0.3195852114817975
"tomaat",13.622380275011853,0.0002235051377447574,2,0.18573366804385621
"magere",13.622380275011853,0.0002235051377447574,2,0.2813466159404025
"geconcentreerde",13.622380275011853,0.0002235051377447574,2,0.3195852114817975
"met",13.622380275011853,0.0002235051377447574,4,0.14413944227621214
"agavesiroop",13.622380275011853,0.0002235051377447574,2,0.1724834592761209
"sterkte",13.622380275011853,0.0002235051377447574,2,0.16013270930654033
"weizenstärke",11.75931721194879,0.0006053942974173798,8,0.2566981726412495
"mandel",11.75931721194879,0.0006053942974173798,32,0.25669817264124944
"blütenhonig",10.057731415626154,0.0015170992273059803,9,0.3195852114817975
